longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value,Social_Security_No
-122.23,37.88,41,880,129,322,126,8.3252,NEAR BAY,452600,47686
-122.22,37.86,21,7099,1106,2401,1138,8.3014,NEAR BAY,358500,43441
-122.24,37.85,52,1467,190,496,177,7.2574,NEAR BAY,352100,42834
-122.25,37.85,52,1274,235,558,219,5.6431,NEAR BAY,341300,37025
-122.25,37.85,52,1627,280,565,259,3.8462,NEAR BAY,342200,37303
-122.25,37.85,52,919,213,413,193,4.0368,NEAR BAY,269700,37003
-122.25,37.84,52,2535,489,1094,514,3.6591,NEAR BAY,299200,48464
-122.25,37.84,52,3104,687,1157,647,3.12,NEAR BAY,241400,43491
-122.26,37.84,42,2555,665,1206,595,2.0804,NEAR BAY,226700,41628
-122.25,37.84,52,3549,707,1551,714,3.6912,NEAR BAY,261100,44012
-122.26,37.85,52,2202,434,910,402,3.2031,NEAR BAY,281500,38973
-122.26,37.85,52,3503,752,1504,734,3.2705,NEAR BAY,241800,38694
-122.26,37.85,52,2491,474,1098,468,3.075,NEAR BAY,213500,43116
-122.26,37.84,52,696,191,345,174,2.6736,NEAR BAY,191300,43972
-122.26,37.85,52,2643,626,1212,620,1.9167,NEAR BAY,159200,37328
-122.26,37.85,50,1120,283,697,264,2.125,NEAR BAY,140000,33060
-122.27,37.85,52,1966,347,793,331,2.775,NEAR BAY,152500,33172
-122.27,37.85,52,1228,293,648,303,2.1202,NEAR BAY,155500,34187
-122.26,37.84,50,2239,455,990,419,1.9911,NEAR BAY,158700,46025
-122.27,37.84,52,1503,298,690,275,2.6033,NEAR BAY,162900,49557
-122.27,37.85,40,751,184,409,166,1.3578,NEAR BAY,147500,31819
-122.27,37.85,42,1639,367,929,366,1.7135,NEAR BAY,159800,34611
-122.27,37.84,52,2436,541,1015,478,1.725,NEAR BAY,113900,38703
-122.27,37.84,52,1688,337,853,325,2.1806,NEAR BAY,99700,49040
-122.27,37.84,52,2224,437,1006,422,2.6,NEAR BAY,132600,43614
-122.28,37.85,41,535,123,317,119,2.4038,NEAR BAY,107500,49698
-122.28,37.85,49,1130,244,607,239,2.4597,NEAR BAY,93800,32796
-122.28,37.85,52,1898,421,1102,397,1.808,NEAR BAY,105500,47746
-122.28,37.84,50,2082,492,1131,473,1.6424,NEAR BAY,108900,38615
